txn_id,txn_date,account_code,account_name,vendor_name,approved_by,amount,txn_type,true_anomaly_flag
102407,2024-10-23,6300,Professional & Legal Fees,Quantum Data Services Pvt Ltd,EMP0130,9837.08,invoice,none
100837,2024-12-04,6600,Electricity & Utilities,Pinecrest Travel & Tours,EMP0154,167649.45,invoice,none
102335,2024-12-05,6200,Office Supplies & Stationery,Vertex Engineering Co Pvt Ltd,EMP0153,53951.44,invoice,none
111573,2025-01-20,6600,Electricity & Utilities,Nexgen Consulting LLP,EMP0125,6197.71,invoice,none
115135,2025-02-04,6600,Electricity & Utilities,Zenith Professional Consultants,EMP0145,85798.9,invoice,benford_break
106014,2024-08-07,6600,Electricity & Utilities,Om Facilities Management,EMP0121,10158.89,invoice,none
102544,2024-05-10,6600,Electricity & Utilities,Keystone Repairs & Services,EMP0142,13339.45,invoice,none
114759,2024-10-25,6600,Electricity & Utilities,Meridian Consulting Partners,EMP0124,14721.05,invoice,duplicate_invoice
113871,2024-07-30,6400,IT & Software Licenses,Quantum Data Services Pvt Ltd,EMP0118,3271.7,invoice,none
111645,2024-12-25,6700,Repairs & Maintenance,Northstar Power & Utilities,EMP0110,59115.09,invoice,none
102082,2025-01-06,6300,Professional & Legal Fees,Evergreen IT Solutions Pvt Ltd,EMP0108,24633.51,invoice,none
102715,2024-08-21,6300,Professional & Legal Fees,Titan Hardware Suppliers,EMP0160,4175.26,invoice,none
103951,2024-07-25,6400,IT & Software Licenses,Keystone Repairs & Services,EMP0133,62329.89,invoice,none
106128,2024-05-21,7200,Rent & Facilities,Shree Balaji Logistics Pvt Ltd,EMP0150,10849.63,invoice,none
107628,2024-10-01,6500,Marketing & Advertising,Silverline Facility Services,EMP0160,6125.47,invoice,none
100737,2024-10-30,6700,Repairs & Maintenance,Silverline Facility Services,EMP0104,16858.43,invoice,none
112029,2024-10-29,6300,Professional & Legal Fees,Falcon Stationery Mart,EMP0157,140552.06,invoice,none
107636,2024-09-02,6500,Marketing & Advertising,Horizon Marketing Solutions,EMP0118,17333.33,invoice,none
113093,2024-06-18,7200,Rent & Facilities,Northstar Power & Utilities,EMP0134,12190.73,invoice,none
112824,2024-09-20,6800,Consulting Services,Ironclad Security Systems,EMP0160,16386.9,invoice,none
109237,2024-08-30,6200,Office Supplies & Stationery,Sundaram Professional Services,EMP0125,46145.58,invoice,none
101494,2024-11-26,6100,Travel & Conveyance,Lumen Software Systems India,EMP0149,9487.03,invoice,none
115195,2025-01-01,7100,Equipment Purchases (Capex),Pinecrest Travel & Tours,EMP0115,87954.3,invoice,benford_break
113384,2025-01-27,6800,Consulting Services,Orion Equipment Rentals,EMP0132,7806.01,invoice,none
106736,2025-03-11,7100,Equipment Purchases (Capex),Radiance Advertising Group,EMP0107,5518.11,invoice,none
109374,2024-04-24,6500,Marketing & Advertising,Nexgen Consulting LLP,EMP0113,33874.16,invoice,none
109253,2024-06-19,7100,Equipment Purchases (Capex),Crescent Office Supplies,EMP0108,20852.65,invoice,none
102500,2025-02-06,6800,Consulting Services,Titan Hardware Suppliers,EMP0132,10685.44,invoice,none
107795,2024-12-11,7100,Equipment Purchases (Capex),Pinecrest Travel & Tours,EMP0120,72029.97,invoice,none
104689,2025-02-18,6300,Professional & Legal Fees,Union Print & Design Studio,EMP0139,3840.77,invoice,none
107564,2024-05-24,6700,Repairs & Maintenance,Crescent Office Supplies,EMP0110,33182.69,invoice,none
106665,2024-06-03,6700,Repairs & Maintenance,Shree Balaji Logistics Pvt Ltd,EMP0130,8643.49,invoice,none
111144,2024-08-05,6100,Travel & Conveyance,Om Facilities Management,EMP0122,6488.29,invoice,none
106890,2024-09-30,6800,Consulting Services,Orion Equipment Rentals,EMP0143,19531.77,invoice,none
106052,2024-04-17,6700,Repairs & Maintenance,Crescent Office Supplies,EMP0145,7886.33,invoice,none
114598,2025-01-09,6400,IT & Software Licenses,Silverline Facility Services,EMP0106,43986.17,invoice,weekend_posting
111035,2025-01-02,6100,Travel & Conveyance,Keystone Repairs & Services,EMP0138,4349.33,invoice,none
100089,2024-08-02,6500,Marketing & Advertising,Pinecrest Travel & Tours,EMP0114,34551.66,invoice,none
104437,2024-05-17,6700,Repairs & Maintenance,Orion Equipment Rentals,EMP0137,32752.53,invoice,none
107503,2024-06-18,6400,IT & Software Licenses,Om Facilities Management,EMP0150,2114.29,invoice,none
104862,2024-11-12,6800,Consulting Services,Silverline Facility Services,EMP0103,5603.72,invoice,none
100252,2025-01-07,6300,Professional & Legal Fees,Horizon Marketing Solutions,EMP0153,37888.94,invoice,none
103064,2024-10-31,6800,Consulting Services,Keystone Repairs & Services,EMP0149,1705.76,invoice,none
114259,2024-09-24,6300,Professional & Legal Fees,Lumen Software Systems India,EMP0147,496776.34,invoice,just_under_threshold
105720,2025-02-04,7100,Equipment Purchases (Capex),Northstar Power & Utilities,EMP0107,8203.27,invoice,none
106909,2024-09-03,6200,Office Supplies & Stationery,Silverline Facility Services,EMP0122,21614.37,invoice,none
111264,2024-09-19,6400,IT & Software Licenses,Evergreen IT Solutions Pvt Ltd,EMP0153,9529.6,invoice,none
101954,2024-08-22,6300,Professional & Legal Fees,Sundaram Professional Services,EMP0148,2680.75,invoice,none
110626,2024-05-01,7100,Equipment Purchases (Capex),Falcon Stationery Mart,EMP0128,5555.73,invoice,none
108367,2025-01-16,6400,IT & Software Licenses,Westfield Catering Services,EMP0123,8406.88,invoice,none
107977,2024-08-28,6300,Professional & Legal Fees,Union Print & Design Studio,EMP0108,32737.89,invoice,none
103046,2024-05-31,6600,Electricity & Utilities,Westfield Catering Services,EMP0108,7379.83,invoice,none
102761,2024-12-31,6100,Travel & Conveyance,Om Facilities Management,EMP0135,15443.11,invoice,none
106211,2024-12-30,6800,Consulting Services,Pinecrest Travel & Tours,EMP0148,19457.2,invoice,none
106166,2024-10-21,7100,Equipment Purchases (Capex),Union Print & Design Studio,EMP0130,56046.45,invoice,none
103614,2024-08-26,6200,Office Supplies & Stationery,Lumen Software Systems India,EMP0113,104371.98,invoice,none
109038,2024-10-22,6200,Office Supplies & Stationery,Quantum Data Services Pvt Ltd,EMP0104,10326.32,invoice,none
101741,2024-11-08,6300,Professional & Legal Fees,Bharat Freight Carriers,EMP0145,9463.82,invoice,none
111768,2024-06-24,7200,Rent & Facilities,Quantum Data Services Pvt Ltd,EMP0103,9167.02,invoice,none
103679,2025-03-07,6100,Travel & Conveyance,Shree Balaji Logistics Pvt Ltd,EMP0115,19206.21,invoice,none
110309,2025-01-06,6300,Professional & Legal Fees,Lumen Software Systems India,EMP0146,35609.99,invoice,none
104875,2024-04-02,6700,Repairs & Maintenance,Radiance Advertising Group,EMP0153,4821.68,invoice,none
104660,2024-07-23,6600,Electricity & Utilities,Orion Equipment Rentals,EMP0131,5327.3,invoice,none
115209,2024-05-06,6500,Marketing & Advertising,Om Facilities Management,EMP0151,72400.1,invoice,benford_break
106113,2024-11-21,7100,Equipment Purchases (Capex),Yellowstone Cleaning Services,EMP0110,7802.11,invoice,none
100380,2024-09-04,7100,Equipment Purchases (Capex),Pinecrest Travel & Tours,EMP0122,21387.8,invoice,none
101660,2024-04-18,7200,Rent & Facilities,Keystone Repairs & Services,EMP0123,120345.0,invoice,none
113853,2025-02-27,6500,Marketing & Advertising,Shree Balaji Logistics Pvt Ltd,EMP0150,3623.63,invoice,none
114127,2024-07-23,6600,Electricity & Utilities,Om Facilities Management,EMP0143,1000000.0,invoice,round_number
100938,2025-01-13,6300,Professional & Legal Fees,Silverline Facility Services,EMP0107,14211.78,invoice,none
103194,2025-03-28,6300,Professional & Legal Fees,Nexgen Consulting LLP,EMP0158,1535.66,invoice,none
103015,2024-04-16,6700,Repairs & Maintenance,Nexgen Consulting LLP,EMP0146,31246.14,invoice,none
105291,2024-12-27,6200,Office Supplies & Stationery,Orion Equipment Rentals,EMP0138,6237.52,invoice,none
106418,2024-07-12,7200,Rent & Facilities,Quantum Data Services Pvt Ltd,EMP0122,2118.61,invoice,none
103998,2024-08-27,6600,Electricity & Utilities,Quantum Data Services Pvt Ltd,EMP0142,13548.6,invoice,none
108268,2024-08-28,6600,Electricity & Utilities,Titan Hardware Suppliers,EMP0122,17125.31,invoice,none
102875,2024-11-14,6200,Office Supplies & Stationery,Keystone Repairs & Services,EMP0130,843.85,invoice,none
104872,2024-05-07,6300,Professional & Legal Fees,Pinecrest Travel & Tours,EMP0121,11849.53,invoice,none
108522,2025-02-25,6800,Consulting Services,Ironclad Security Systems,EMP0132,27616.16,invoice,none
106923,2024-12-03,6500,Marketing & Advertising,Falcon Stationery Mart,EMP0128,5239.19,invoice,none
112268,2024-10-04,6100,Travel & Conveyance,Titan Hardware Suppliers,EMP0104,7357.11,invoice,none
102406,2024-07-19,6700,Repairs & Maintenance,Pinecrest Travel & Tours,EMP0157,43140.72,invoice,none
108982,2024-08-01,6300,Professional & Legal Fees,Om Facilities Management,EMP0156,20996.38,invoice,none
103636,2024-06-18,6100,Travel & Conveyance,Northstar Power & Utilities,EMP0147,21558.08,invoice,none
108518,2024-10-04,6300,Professional & Legal Fees,Radiance Advertising Group,EMP0127,33729.52,invoice,none
105427,2024-09-11,6500,Marketing & Advertising,Westfield Catering Services,EMP0148,5081.3,invoice,none
109595,2024-08-19,6100,Travel & Conveyance,Evergreen IT Solutions Pvt Ltd,EMP0132,12674.25,invoice,none
106832,2024-05-30,6200,Office Supplies & Stationery,Silverline Facility Services,EMP0151,10734.8,invoice,none
113699,2024-04-12,6100,Travel & Conveyance,Vertex Engineering Co Pvt Ltd,EMP0139,6238.58,invoice,none
108458,2024-05-03,6700,Repairs & Maintenance,Falcon Stationery Mart,EMP0106,48108.86,invoice,none
111031,2024-09-16,6100,Travel & Conveyance,Radiance Advertising Group,EMP0158,51133.97,invoice,none
102309,2025-03-06,6800,Consulting Services,Keystone Repairs & Services,EMP0159,5571.3,invoice,none
114427,2025-01-28,7100,Equipment Purchases (Capex),Evergreen IT Solutions Pvt Ltd,EMP0126,489237.17,invoice,just_under_threshold
101715,2025-01-23,7200,Rent & Facilities,Meridian Consulting Partners,EMP0158,3978.33,invoice,none
109624,2024-10-11,7200,Rent & Facilities,Zenith Professional Consultants,EMP0143,2580.13,invoice,none
100048,2024-11-13,6400,IT & Software Licenses,Pinecrest Travel & Tours,EMP0118,12773.92,invoice,none
107966,2024-07-31,6500,Marketing & Advertising,Titan Hardware Suppliers,EMP0116,4112.18,invoice,none
109470,2024-05-27,6300,Professional & Legal Fees,Radiance Advertising Group,EMP0127,14808.74,invoice,none
109514,2024-09-09,6600,Electricity & Utilities,Ironclad Security Systems,EMP0128,3625.36,invoice,none
101806,2025-02-13,6700,Repairs & Maintenance,Om Facilities Management,EMP0136,109727.79,invoice,none
100765,2024-10-10,6700,Repairs & Maintenance,Quantum Data Services Pvt Ltd,EMP0134,41911.1,invoice,none
110851,2024-09-02,6200,Office Supplies & Stationery,Northstar Power & Utilities,EMP0120,109721.87,invoice,none
108247,2024-09-24,6700,Repairs & Maintenance,Keystone Repairs & Services,EMP0136,4472.08,invoice,none
108178,2025-01-22,6700,Repairs & Maintenance,Zenith Professional Consultants,EMP0160,97847.94,invoice,none
104765,2025-03-07,7200,Rent & Facilities,Radiance Advertising Group,EMP0129,3073.98,invoice,none
108523,2024-11-14,7200,Rent & Facilities,Crescent Office Supplies,EMP0143,10954.01,invoice,none
101347,2024-11-13,6500,Marketing & Advertising,Zenith Professional Consultants,EMP0131,9106.8,invoice,none
106339,2025-01-10,7200,Rent & Facilities,Meridian Consulting Partners,EMP0110,17638.34,invoice,none
103888,2024-07-30,7200,Rent & Facilities,Crescent Office Supplies,EMP0144,45548.48,invoice,none
114056,2024-12-10,6800,Consulting Services,Titan Hardware Suppliers,EMP0113,2000000.0,invoice,round_number
112488,2024-11-22,6600,Electricity & Utilities,Ironclad Security Systems,EMP0126,12406.12,invoice,none
111439,2024-04-26,6700,Repairs & Maintenance,Orion Equipment Rentals,EMP0143,23557.19,invoice,none
109700,2024-04-08,6100,Travel & Conveyance,Sundaram Professional Services,EMP0126,25193.67,invoice,none
104683,2024-08-28,7200,Rent & Facilities,Meridian Consulting Partners,EMP0109,11635.44,invoice,none
113550,2024-11-12,6800,Consulting Services,Sundaram Professional Services,EMP0155,93878.87,invoice,none
100340,2024-06-04,6200,Office Supplies & Stationery,Keystone Repairs & Services,EMP0132,11936.59,invoice,none
109459,2025-02-04,6100,Travel & Conveyance,Northstar Power & Utilities,EMP0153,6654.27,invoice,none
109241,2024-04-02,6400,IT & Software Licenses,Northstar Power & Utilities,EMP0113,19542.51,invoice,none
109657,2024-08-23,6100,Travel & Conveyance,Vertex Engineering Co Pvt Ltd,EMP0135,5445.63,invoice,none
106073,2024-05-27,6600,Electricity & Utilities,Crescent Office Supplies,EMP0147,32709.73,invoice,none
112285,2024-06-12,6400,IT & Software Licenses,Zenith Professional Consultants,EMP0134,7576.28,invoice,none
111846,2024-10-10,6200,Office Supplies & Stationery,Radiance Advertising Group,EMP0117,88586.18,invoice,none
102311,2024-11-25,6300,Professional & Legal Fees,Shree Balaji Logistics Pvt Ltd,EMP0135,6269.25,invoice,none
102936,2024-07-16,6800,Consulting Services,Union Print & Design Studio,EMP0151,6925.19,invoice,none
101124,2024-07-16,6500,Marketing & Advertising,Ironclad Security Systems,EMP0117,4920.33,invoice,none
109213,2025-01-31,7100,Equipment Purchases (Capex),Silverline Facility Services,EMP0141,5738.9,invoice,none
113325,2024-09-04,7200,Rent & Facilities,Nexgen Consulting LLP,EMP0137,8276.69,invoice,none
111841,2024-04-16,7200,Rent & Facilities,Pinecrest Travel & Tours,EMP0150,11676.75,invoice,none
101767,2024-12-09,6700,Repairs & Maintenance,Radiance Advertising Group,EMP0108,9374.75,invoice,none
114919,2024-06-20,7200,Rent & Facilities,Quantum Data Services Pvt Ltd,EMP0138,16022.47,invoice,duplicate_invoice
103419,2024-09-18,6800,Consulting Services,Northstar Power & Utilities,EMP0103,1350.31,invoice,none
106346,2025-02-10,6700,Repairs & Maintenance,Falcon Stationery Mart,EMP0159,13910.57,invoice,none
111196,2024-12-13,6100,Travel & Conveyance,Westfield Catering Services,EMP0122,9018.11,invoice,none
108205,2024-09-17,6800,Consulting Services,Radiance Advertising Group,EMP0114,6711.62,invoice,none
106742,2024-07-15,6300,Professional & Legal Fees,Vertex Engineering Co Pvt Ltd,EMP0143,887.25,invoice,none
110863,2024-04-15,6400,IT & Software Licenses,Yellowstone Cleaning Services,EMP0102,70067.54,invoice,none
103754,2024-11-28,6400,IT & Software Licenses,Ironclad Security Systems,EMP0131,3461.18,invoice,none
107282,2024-10-16,6500,Marketing & Advertising,Orion Equipment Rentals,EMP0105,26270.45,invoice,none
109144,2024-08-08,6500,Marketing & Advertising,Nexgen Consulting LLP,EMP0127,17989.99,invoice,none
112032,2024-10-29,6400,IT & Software Licenses,Zenith Professional Consultants,EMP0113,11521.72,invoice,none
112391,2024-10-01,6700,Repairs & Maintenance,Pinecrest Travel & Tours,EMP0147,24942.22,invoice,none
113741,2025-01-02,6800,Consulting Services,Silverline Facility Services,EMP0106,25423.78,invoice,none
109644,2024-05-16,7200,Rent & Facilities,Silverline Facility Services,EMP0137,15044.68,invoice,none
103170,2024-08-14,7100,Equipment Purchases (Capex),Lumen Software Systems India,EMP0109,20930.09,invoice,none
105640,2024-07-08,6500,Marketing & Advertising,Om Facilities Management,EMP0119,12092.52,invoice,none
108201,2025-01-29,7200,Rent & Facilities,Meridian Consulting Partners,EMP0108,75110.08,invoice,none
110530,2024-07-22,6800,Consulting Services,Meridian Consulting Partners,EMP0145,11674.98,invoice,none
106757,2024-12-26,7200,Rent & Facilities,Shree Balaji Logistics Pvt Ltd,EMP0121,3194.15,invoice,none
100412,2024-09-06,6200,Office Supplies & Stationery,Vertex Engineering Co Pvt Ltd,EMP0147,38532.47,invoice,none
112375,2025-02-20,6400,IT & Software Licenses,Shree Balaji Logistics Pvt Ltd,EMP0121,38393.79,invoice,none
106282,2024-12-31,6500,Marketing & Advertising,Titan Hardware Suppliers,EMP0107,12834.54,invoice,none
113901,2024-09-25,6700,Repairs & Maintenance,Ironclad Security Systems,EMP0125,5757.49,invoice,none
102496,2024-07-26,7200,Rent & Facilities,Meridian Consulting Partners,EMP0126,9131.21,invoice,none
103166,2024-07-01,6400,IT & Software Licenses,Ironclad Security Systems,EMP0148,20568.34,invoice,none
111547,2024-10-17,7100,Equipment Purchases (Capex),Shree Balaji Logistics Pvt Ltd,EMP0126,17844.14,invoice,none
110733,2024-11-29,6500,Marketing & Advertising,Sundaram Professional Services,EMP0157,232618.03,invoice,none
108483,2024-07-22,6700,Repairs & Maintenance,Horizon Marketing Solutions,EMP0146,13839.44,invoice,none
112582,2024-08-14,6400,IT & Software Licenses,Yellowstone Cleaning Services,EMP0141,3164.45,invoice,none
110885,2024-06-24,6800,Consulting Services,Crescent Office Supplies,EMP0151,918.19,invoice,none
107891,2024-04-01,6800,Consulting Services,Zenith Professional Consultants,EMP0122,409269.87,invoice,none
109631,2024-04-03,6500,Marketing & Advertising,Horizon Marketing Solutions,EMP0155,8027.52,invoice,none
101088,2025-03-27,6100,Travel & Conveyance,Orion Equipment Rentals,EMP0113,21143.92,invoice,none
110199,2024-08-26,6600,Electricity & Utilities,Bharat Freight Carriers,EMP0157,61069.26,invoice,none
110021,2024-11-13,6500,Marketing & Advertising,Ironclad Security Systems,EMP0103,3123.82,invoice,none
104049,2025-03-27,6700,Repairs & Maintenance,Pinecrest Travel & Tours,EMP0107,8993.67,invoice,none
104221,2024-05-10,7100,Equipment Purchases (Capex),Meridian Consulting Partners,EMP0103,2512.51,invoice,none
102155,2024-12-16,7100,Equipment Purchases (Capex),Zenith Professional Consultants,EMP0115,7358.39,invoice,none
102895,2024-12-05,6300,Professional & Legal Fees,Orion Equipment Rentals,EMP0101,16555.94,invoice,none
110502,2025-01-13,6800,Consulting Services,Union Print & Design Studio,EMP0143,17094.64,invoice,none
114639,2024-08-05,6700,Repairs & Maintenance,Sundaram Professional Services,EMP0131,5656.52,invoice,weekend_posting
109530,2024-05-22,6700,Repairs & Maintenance,Ironclad Security Systems,EMP0120,114526.25,invoice,none
106235,2024-05-13,6100,Travel & Conveyance,Bharat Freight Carriers,EMP0154,6019.02,invoice,none
102615,2024-05-24,7100,Equipment Purchases (Capex),Falcon Stationery Mart,EMP0134,22380.37,invoice,none
103602,2024-12-09,7200,Rent & Facilities,Bharat Freight Carriers,EMP0120,8848.75,invoice,none
104404,2024-11-06,7200,Rent & Facilities,Northstar Power & Utilities,EMP0147,22060.71,invoice,none
114355,2024-04-24,6500,Marketing & Advertising,Westfield Catering Services,EMP0121,492001.36,invoice,just_under_threshold
113046,2024-07-26,6800,Consulting Services,Ironclad Security Systems,EMP0143,13169.71,invoice,none
114958,2024-06-06,6800,Consulting Services,Om Facilities Management,EMP0113,98334.7,invoice,benford_break
111214,2024-08-26,6700,Repairs & Maintenance,Bharat Freight Carriers,EMP0102,108494.03,invoice,none
112729,2024-08-27,6100,Travel & Conveyance,Pinecrest Travel & Tours,EMP0146,11411.09,invoice,none
102547,2024-06-26,7200,Rent & Facilities,Radiance Advertising Group,EMP0128,2197.5,invoice,none
100512,2025-03-06,6800,Consulting Services,Vertex Engineering Co Pvt Ltd,EMP0125,51220.83,invoice,none
111720,2025-03-18,7200,Rent & Facilities,Meridian Consulting Partners,EMP0101,35744.49,invoice,none
111497,2024-08-22,6200,Office Supplies & Stationery,Quantum Data Services Pvt Ltd,EMP0158,31775.22,invoice,none
114714,2024-07-01,6100,Travel & Conveyance,Quantum Data Services Pvt Ltd,EMP0155,11155.8,invoice,duplicate_invoice
108702,2024-07-30,6200,Office Supplies & Stationery,Pinecrest Travel & Tours,EMP0121,1834.29,invoice,none
113110,2025-03-17,7200,Rent & Facilities,Radiance Advertising Group,EMP0120,4670.3,invoice,none
108015,2024-07-23,6500,Marketing & Advertising,Northstar Power & Utilities,EMP0132,3244.47,invoice,none
102907,2024-11-15,6500,Marketing & Advertising,Keystone Repairs & Services,EMP0155,259192.67,invoice,none
113258,2024-04-19,6300,Professional & Legal Fees,Westfield Catering Services,EMP0154,11358.67,invoice,none
104975,2024-12-17,6800,Consulting Services,Shree Balaji Logistics Pvt Ltd,EMP0123,8981.35,invoice,none
106867,2024-09-16,7100,Equipment Purchases (Capex),Keystone Repairs & Services,EMP0119,13091.83,invoice,none
103388,2024-08-26,6100,Travel & Conveyance,Yellowstone Cleaning Services,EMP0152,7152.78,invoice,none
